Penn_ID_prsn,Emp_Status,Emp_ Status_Date,Full_Part_Time,Exempt_Status,Emp_Age,Emp_Gender,Primary_Position_Name,Primary_Job_Profile_ID,Primary_Job_Profile_Name,Salary_Code,Personnel_Class,Visa_Type,NSO_completion_percent,Supervisory_status,Assignment_Date,Access_Date,Completion_Date,NSO_Complete_Code,Days_to_complete,Days_to_access,Manager_Penn_Id,SUP_Employee_Type,Supervisor_Domains,SUP_Job_Code_Description,SUP_Learning
22225283,A,43710,F,E,35,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",4,AP,NA,0,UNIV,9/3/2019,NA,1/0/1900,0,NA,NA,54262010,UP.FAC,DUAL,PROFESSOR,0
10205297,A,43689,F,E,43,F,Counseling Psychologist C,365367,Counseling Psychologist C,4,AP,NA,100,NA,8/19/2019,8/22/2019,8/26/2019,1,7,3,10090430,UP.FAC,DUAL,ACADEMIC CLINICIAN ASSOCI,0
13460809,A,43766,F,E,40,F,Manager Research Project C,120858,Manager Research Project C,4,AP,NA,100,NA,10/29/2019,11/4/2019,11/4/2019,1,6,6,28404242,UP.STAF,UNIV,DIRECTOR D,0
15759067,A,43678,F,E,28,F,Medical Physicist A,399023,Medical Physicist A,4,AP,NA,100,NA,8/7/2019,8/9/2019,8/29/2019,1,22,2,10088337,UP.STAF,UNIV,CHIEF OF MEDICAL PHYSICS,2
10140315,A,43445,F,E,43,F,Manager Research Project B,120859,Manager Research Project B,4,AP,NA,100,NA,7/5/2019,7/10/2019,7/11/2019,1,6,5,87843079,UP.STAF,UNIV,DIRECTOR D,0
71351216,A,43556,F,E,31,F,Associate Director E,120409,Associate Director E,4,AP,NA,100,NA,4/2/2019,4/3/2019,4/3/2019,1,1,1,37923847,UP.STAF,UNIV,DIRECTOR D,0
38595992,A,43678,F,E,30,M,Medical Physicist A,399023,Medical Physicist A,4,AP,NA,100,NA,8/7/2019,8/8/2019,8/8/2019,1,1,1,10088337,UP.STAF,UNIV,CHIEF OF MEDICAL PHYSICS,2
43869383,A,43640,F,E,51,M,Director F,120322,Director F,4,AP,NA,100,UNIV,6/25/2019,7/3/2019,7/27/2019,1,32,8,10037199,UP.FAC,DUAL,PROFESSOR,1
28404242,A,43578,F,E,56,F,Director D,120390,Director D,4,AP,NA,0,UNIV,4/24/2019,NA,1/0/1900,0,NA,NA,43869383,UP.STAF,UNIV,DIRECTOR F,0
52883960,A,43617,F,E,30,M,Director D,120390,Director D,4,AP,NA,100,UNIV,6/9/2019,6/11/2019,6/12/2019,1,3,2,10019934,UP.STAF,UNIV,STAFF VETERINARIAN,0
10115110,A,43487,F,E,63,M,Director D,120390,Director D,4,AP,NA,100,NA,1/23/2019,1/24/2019,2/8/2019,1,16,1,10100689,UP.STAF,UNIV,DIRECTOR D,1
73358389,A,43770,F,E,39,M,Chief of Medical Physics,399042,Chief of Medical Physics,4,AP,LPR,100,DUAL,11/4/2019,11/5/2019,11/14/2019,1,10,1,15629846,UP.FAC,UNIV,"ASSOCIATE PROFESSOR, CLIN",1
82888459,A,43707,F,E,47,M,Director D,120390,Director D,4,AP,NA,100,UNIV,9/6/2019,9/16/2019,9/18/2019,1,12,10,10037199,UP.FAC,DUAL,PROFESSOR,1
10199287,A,43487,F,E,51,F,Director D,120390,Director D,4,AP,NA,100,UNIV,1/23/2019,1/29/2019,2/1/2019,1,9,6,10134597,UP.STAF,UNIV,DIRECTOR E,0
23424723,A,43556,F,E,42,M,Director C,120392,Director C,4,AP,NA,100,UNIV,4/2/2019,4/10/2019,4/10/2019,1,8,8,44852936,UP.STAF,NA,DIRECTOR D,0
40077521,A,43703,F,E,39,F,Director D,120390,Director D,4,AP,NA,30.77,NA,8/29/2019,9/11/2019,1/0/1900,0,NA,13,56968719,UP.FAC,NA,"ASSOCIATE PROFESSOR, CLIN",0
18191168,A,43752,F,E,40,M,Director E,120377,Director E,4,AP,LPR,100,NA,10/21/2019,10/24/2019,11/1/2019,1,11,3,10118501,UP.FAC,UNIV,PROFESSOR,0
43432887,A,43711,F,E,41,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",4,AP,NA,100,NA,9/4/2019,9/6/2019,9/7/2019,1,3,2,10183843,UP.STAF,DUAL,DIRECTOR C,2
56258887,A,43447,F,E,41,F,Penn Medicine Clinician,110193,Penn Medicine Clinician,4,AP,NA,100,NA,1/3/2019,3/7/2019,4/6/2019,1,93,63,12924995,HS.EMP,DUAL,Mgr Administration and Finance,0
16774753,A,43711,F,E,43,F,Director D,120390,Director D,4,AP,NA,100,NA,8/16/2019,9/17/2019,9/17/2019,1,32,32,10018888,UP.STAF,UNIV,DIRECTOR E,1
45466904,A,43647,F,E,29,F,Associate Director E,120409,Associate Director E,4,AP,NA,7.69,NA,7/10/2019,7/11/2019,1/0/1900,0,NA,1,37923847,UP.STAF,UNIV,DIRECTOR D,0
10038323,A,43570,F,E,61,F,Manager Research Project C,120858,Manager Research Project C,4,AP,NA,92.31,UNIV,4/16/2019,4/17/2019,1/0/1900,0,NA,1,69805341,UP.STAF,UNIV,DIRECTOR D,0
44852936,A,43678,F,E,45,F,Director D,120390,Director D,4,AP,NA,30.77,NA,8/7/2019,8/8/2019,1/0/1900,0,NA,1,10134597,UP.STAF,UNIV,DIRECTOR E,0
77056350,A,43472,F,E,57,M,Associate General Counsel,370025,Associate General Counsel,4,AP,NA,100,UNIV,1/12/2019,1/30/2019,2/18/2019,1,37,18,43869383,UP.STAF,UNIV,DIRECTOR F,0
13944054,A,43528,F,E,34,M,Director D,120390,Director D,4,AP,NA,53.85,NA,3/5/2019,3/14/2019,1/0/1900,0,NA,9,43869383,UP.STAF,UNIV,DIRECTOR F,0
52201683,A,43416,F,E,41,F,Director C,120392,Director C,3,AP,NA,38.46,NA,11/14/2018,11/15/2018,1/0/1900,0,NA,1,10040067,UP.FAC,DUAL,"PROFESSOR, CLINICIAN-EDUC",0
16927821,A,43374,F,E,46,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,LPR,0,NA,11/14/2018,NA,1/0/1900,0,NA,NA,82888459,UP.STAF,UNIV,DIRECTOR D,0
10057917,A,43770,F,E,62,F,Executive Assistant A,120462,Executive Assistant A,3,AP,NA,100,NA,11/4/2019,11/13/2019,11/13/2019,1,9,9,10028749,UP.STAF,DUAL,"DIRECTOR, FISCAL OPERATIO",2
78403949,A,43661,F,E,41,F,Grants Manager B,355803,Grants Manager B,3,AP,NA,100,NA,7/17/2019,7/17/2019,7/24/2019,1,7,0,10091672,UP.STAF,UNIV,ADMINISTRATIVE AND FINANC,2
88491073,A,43521,F,E,37,M,Bioinformatician B,340440,Bioinformatician B,3,AP,H-1B,7.69,NA,2/26/2019,2/27/2019,1/0/1900,0,NA,1,10008840,UP.FAC,DUAL,PROFESSOR,0
44201072,A,43678,F,E,38,F,Executive Assistant A,120462,Executive Assistant A,3,AP,NA,100,NA,8/7/2019,8/19/2019,8/29/2019,1,22,12,10053421,UP.STAF,UNIV,EXECUTIVE ASSISTANT C,0
43193079,A,43718,F,E,26,F,Clinical Research Nurse C,315054,Clinical Research Nurse C,3,AP,NA,100,NA,9/14/2019,9/17/2019,9/17/2019,1,3,3,62034044,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,1
27160627,A,43467,F,E,47,M,Regulatory Affairs Specialist Senior,120866,Regulatory Affairs Specialist Senior,3,AP,NA,100,NA,3/2/2019,3/19/2019,3/25/2019,1,23,17,71468903,UP.STAF,UNIV,DIRECTOR E,2
84330169,A,43514,F,E,30,M,Manager Research Project C,120858,Manager Research Project C,3,AP,NA,100,NA,2/20/2019,2/21/2019,3/7/2019,1,15,1,77248916,UP.STAF,UNIV,DIRECTOR D,0
31286155,A,43395,F,E,37,F,Clinical Research Nurse D,315057,Clinical Research Nurse D,3,AP,NA,100,NA,11/14/2018,1/15/2019,3/8/2019,1,114,62,10280865,UP.STAF,DUAL,DIRECTOR D,0
10280586,A,43717,F,E,38,F,Manager E,130248,Manager E,3,AP,NA,100,NA,9/10/2019,9/17/2019,11/25/2019,1,76,7,41323070,UP.FAC,UNIV,ACADEMIC CLINICIAN ASSIST,0
60881946,A,43542,F,E,58,F,Associate Director E,120409,Associate Director E,3,AP,NA,100,NA,3/19/2019,3/27/2019,3/29/2019,1,10,8,41821011,UP.STAF,UNIV,ASSOCIATE GENERAL COUNSEL,0
26886601,A,43776,F,E,33,F,Manager Research Project B,120859,Manager Research Project B,3,AP,NA,30.77,UNIV,11/8/2019,11/13/2019,1/0/1900,0,NA,5,56412870,UP.FAC,UNIV,ASSISTANT PROFESSOR,0
16437265,A,43529,F,E,44,M,Grants Manager B,355803,Grants Manager B,3,AP,NA,100,NA,3/14/2019,3/14/2019,3/25/2019,1,11,0,10199917,UP.STAF,UNIV,"DIRECTOR, FISCAL OPERATIO",2
31736825,A,43739,F,E,36,M,Application Developer C,340059,Application Developer C,3,AP,H-1B,0,NA,10/2/2019,NA,1/0/1900,0,NA,NA,54266382,UP.FAC,DUAL,ASSOCIATE PROFESSOR,0
85134572,A,43598,F,E,35,F,Associate Director C,120602,Associate Director C,3,AP,NA,100,NA,5/15/2019,5/15/2019,5/16/2019,1,1,0,48332687,UP.STAF,UNIV,DIRECTOR B,2
86506428,A,43409,F,E,37,F,Grants Manager B,355803,Grants Manager B,3,AP,NA,100,NA,11/5/2019,11/8/2019,11/13/2019,1,8,3,32099241,UP.STAF,UNIV,ADMINISTRATIVE AND FINANC,1
46086581,A,43724,F,E,39,F,Resource Technologist C,320105,Resource Technologist C,3,AP,NA,100,NA,9/19/2019,9/20/2019,9/23/2019,1,4,1,38034309,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,0
45070993,A,43405,F,E,32,F,Manager Research Project B,120859,Manager Research Project B,3,AP,NA,100,NA,11/14/2018,11/15/2018,12/6/2018,1,22,1,10026323,UP.STAF,UNIV,ADMINISTRATIVE AND FINANC,0
20064561,A,43383,F,E,51,F,GXP Auditor,120863,GXP Auditor,3,AP,NA,100,NA,11/14/2018,11/19/2018,12/6/2018,1,22,5,25768398,UP.STAF,UNIV,DIRECTOR E,0
45176516,A,43727,F,E,33,F,Communications Specialist,345201,Communications Specialist,3,AP,NA,92.31,NA,9/21/2019,9/23/2019,1/0/1900,0,NA,2,10183843,UP.STAF,DUAL,DIRECTOR C,2
23930246,A,43467,F,E,39,F,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,NA,100,NA,1/3/2019,1/8/2019,1/14/2019,1,11,5,11687624,UP.STAF,DUAL,ASSOCIATE DIRECTOR E,2
22273871,A,43405,F,E,36,M,Application Developer C,340059,Application Developer C,3,AP,NA,23.08,NA,11/14/2018,12/6/2018,1/0/1900,0,NA,22,10271959,UP.FAC,DUAL,PROFESSOR,0
61321584,A,43430,F,E,42,M,Associate Director D,120417,Associate Director D,3,AP,NA,100,NA,11/27/2018,12/10/2018,1/2/2019,1,36,13,10197275,UP.STAF,UNIV,DIRECTOR E,0
20032066,A,43766,F,E,30,F,Manager Research Project B,120859,Manager Research Project B,3,AP,NA,100,NA,10/29/2019,11/6/2019,11/6/2019,1,8,8,10161489,UP.STAF,UNIV,DIRECTOR F,0
59380417,A,43528,F,E,45,F,Manager Research Project A,120860,Manager Research Project A,3,AP,NA,100,UNIV,3/5/2019,3/11/2019,3/21/2019,1,16,6,70731697,UP.STAF,UNIV,DIRECTOR C,1
56414931,A,43542,F,E,32,F,Clinical Research Nurse D,315057,Clinical Research Nurse D,3,AP,NA,100,NA,3/19/2019,3/25/2019,3/27/2019,1,8,6,10283388,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,1
12138600,A,43745,F,E,54,F,Research Specialist D,320035,Research Specialist D,3,AP,NA,100,NA,10/8/2019,10/16/2019,10/21/2019,1,13,8,52883960,UP.STAF,UNIV,DIRECTOR D,0
65866639,A,43497,F,E,31,F,Manager Research Project A,120860,Manager Research Project A,3,AP,NA,100,NA,2/5/2019,2/11/2019,2/19/2019,1,14,6,22800137,UP.STAF,UNIV,DIRECTOR C,0
10283987,A,43724,F,E,55,M,Data Analyst C,340106,Data Analyst C,3,AP,NA,100,NA,9/17/2019,9/30/2019,9/30/2019,1,13,13,16104311,UP.FAC,DUAL,ASSOCIATE PROFESSOR,1
10219127,A,43617,F,E,52,F,Associate Director E,120409,Associate Director E,3,AP,NA,15.38,UNIV,6/11/2019,6/11/2019,1/0/1900,0,NA,0,10199266,UP.STAF,UNIV,DIRECTOR D,0
77617888,A,43432,F,E,31,F,Grants Manager B,355803,Grants Manager B,3,AP,NA,100,NA,12/4/2018,12/11/2018,12/14/2018,1,10,7,75782049,UP.STAF,DUAL,DIRECTOR D,0
10019286,A,43430,F,E,48,F,Research Specialist D,320035,Research Specialist D,3,AP,NA,100,NA,11/27/2018,12/4/2018,1/27/2019,1,61,7,10129499,UP.STAF,UNIV,DIRECTOR D,1
22184574,A,43570,F,E,32,F,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,NA,100,NA,4/16/2019,4/18/2019,4/18/2019,1,2,2,40104293,UP.STAF,UNIV,DIRECTOR D,0
83123027,A,43711,F,E,29,F,Clinical Research Nurse C,315054,Clinical Research Nurse C,3,AP,NA,0,NA,9/11/2019,NA,1/0/1900,0,NA,NA,10311995,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,0
72615342,A,43711,F,E,28,F,Clinical Research Nurse C,315054,Clinical Research Nurse C,3,AP,NA,100,NA,9/4/2019,9/4/2019,9/12/2019,1,8,0,10256331,UP.STAF,DUAL,"SUPERVISOR, CLINICAL RESE",1
10180149,A,43514,F,E,36,F,Clinical Research Nurse D,315057,Clinical Research Nurse D,3,AP,NA,23.08,NA,2/20/2019,9/26/2019,1/0/1900,0,NA,218,86268315,UP.STAF,UNIV,DIRECTOR C,2
21708019,A,43731,F,E,29,M,Counseling Psychologist C,365367,Counseling Psychologist C,3,AP,NA,100,NA,10/4/2019,10/7/2019,10/8/2019,1,4,3,82919910,UP.STAF,DUAL,DIRECTOR C,0
64563335,A,43739,F,E,54,M,"Director, Research Support",320050,"Director, Research Support",3,AP,H-1B,0,NA,10/4/2019,NA,1/0/1900,0,NA,NA,10028221,UP.STAF,DUAL,BUSINESS ADMINISTRATOR C,2
43061687,A,43542,F,E,30,F,Manager Research Project B,120859,Manager Research Project B,3,AP,NA,100,NA,3/19/2019,4/4/2019,4/9/2019,1,21,16,62055448,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,2
79016819,A,43770,F,E,38,M,Director B,120391,Director B,3,AP,NA,100,NA,11/4/2019,11/19/2019,11/19/2019,1,15,15,52201683,UP.STAF,NA,DIRECTOR C,0
10311995,A,43617,F,E,41,M,Manager Research Project B,120859,Manager Research Project B,3,AP,NA,100,UNIV,6/11/2019,6/14/2019,6/21/2019,1,10,3,10280865,UP.STAF,DUAL,DIRECTOR D,0
71496384,A,43724,F,E,44,M,GXP Auditor,120863,GXP Auditor,3,AP,NA,100,NA,9/17/2019,9/26/2019,9/26/2019,1,9,9,25768398,UP.STAF,UNIV,DIRECTOR E,0
11849474,A,43647,F,E,61,F,Executive Assistant A,120462,Executive Assistant A,3,AP,NA,100,NA,7/5/2019,7/15/2019,8/1/2019,1,27,10,65583411,HS.EMP,DUAL,COO Psychiatry,0
19964182,A,43419,F,E,31,M,Bioinformatician B,340440,Bioinformatician B,3,AP,NA,100,NA,11/16/2018,11/16/2018,11/29/2018,1,13,0,10013994,UP.FAC,UNIV,"ASSOCIATE PROFESSOR, CLIN",0
10255280,A,43479,F,E,40,F,Clinical Research Nurse C,315054,Clinical Research Nurse C,3,AP,NA,100,NA,1/18/2019,1/22/2019,2/8/2019,1,21,4,10014770,HS.EMP,DUAL,Administrator PAH Cancer Svce,0
36331854,A,43613,F,E,37,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,NA,100,NA,5/29/2019,5/30/2019,6/3/2019,1,5,1,35138212,UP.STAF,UNIV,DIRECTOR D,0
13682353,A,43430,F,E,35,F,Clinical Research Nurse D,315057,Clinical Research Nurse D,3,AP,NA,100,NA,11/27/2018,11/30/2018,12/10/2018,1,13,3,26811395,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,2
89746539,A,43544,F,E,55,F,Data Analyst C,340106,Data Analyst C,3,AP,NA,0,NA,3/22/2019,NA,1/0/1900,0,NA,NA,47797900,UP.STAF,UNIV,DATA ANALYST D,0
85507612,A,43654,F,E,51,M,Clinical Research Nurse D,315057,Clinical Research Nurse D,3,AP,NA,30.77,NA,7/11/2019,8/5/2019,1/0/1900,0,NA,25,10283388,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,1
10016443,A,43623,F,E,54,F,Online Training Specialist,365097,Online Training Specialist,3,AP,NA,100,NA,6/9/2019,6/10/2019,6/10/2019,1,1,1,10028707,UP.STAF,DUAL,DIRECTOR E,0
22449233,A,43521,F,E,30,M,Bioinformatician B,340440,Bioinformatician B,3,AP,H-1B,100,NA,2/26/2019,2/28/2019,3/21/2019,1,23,2,73965450,UP.FAC,UNIV,ASSISTANT PROFESSOR,0
77791353,A,43362,F,E,43,M,Application Developer B,340181,Application Developer B,3,AP,H-1B,100,NA,11/14/2018,12/13/2018,1/10/2019,1,57,29,35564467,UP.STAF,DUAL,INFORMATION TECHNOLOGY TE,2
17311476,A,43654,F,E,29,F,Manager Research Project B,120859,Manager Research Project B,3,AP,NA,100,UNIV,7/16/2019,7/16/2019,7/22/2019,1,6,0,10245401,UP.STAF,UNIV,DIRECTOR D,1
68534135,A,43395,F,E,30,F,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,NA,100,DUAL,11/14/2018,12/3/2018,12/17/2018,1,33,19,10010053,UP.FAC,NA,ACADEMIC CLINICIAN PROFES,0
11481087,A,43563,F,E,35,M,Manager D,130202,Manager D,3,AP,NA,100,NA,4/9/2019,4/12/2019,4/16/2019,1,7,3,67566083,UP.STAF,DUAL,DIRECTOR D,1
10267987,A,43472,F,E,38,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,NA,100,NA,1/8/2019,1/10/2019,1/24/2019,1,16,2,10129526,UP.FAC,UNIV,RESEARCH ASSOCIATE PROFES,0
41333981,A,43467,F,E,51,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,NA,100,NA,1/3/2019,1/4/2019,1/7/2019,1,4,1,51351691,UP.STAF,UNIV,DIRECTOR E,0
47754313,A,43409,F,E,39,F,Grants Manager B,355803,Grants Manager B,3,AP,NA,100,NA,11/14/2018,11/14/2018,11/19/2018,1,5,0,10172567,UP.STAF,UNIV,ADMINISTRATIVE AND FINANC,2
68025761,A,43703,F,E,47,M,Manager C,130200,Manager C,3,AP,NA,100,UNIV,8/28/2019,9/4/2019,9/12/2019,1,15,7,10028707,UP.STAF,DUAL,DIRECTOR E,0
69000046,A,43697,F,E,45,F,Staff Assistant C,399035,Staff Assistant C,3,AP,NA,100,NA,8/23/2019,9/8/2019,9/15/2019,1,23,16,10071842,UP.STAF,UNIV,DIRECTOR C,0
23563528,A,43709,F,E,31,M,Associate Director D,120417,Associate Director D,3,AP,NA,100,NA,9/2/2019,9/5/2019,9/13/2019,1,11,3,10194181,UP.STAF,UNIV,"DIRECTOR, FISCAL OPERATIO",2
67511094,A,43598,F,E,42,F,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,NA,100,NA,5/14/2019,5/16/2019,5/16/2019,1,2,2,10110912,UP.STAF,UNIV,DIRECTOR D,1
57783676,A,43360,F,E,29,F,Clinical Research Coordinator C,320092,Clinical Research Coordinator C,2,AP,NA,100,NA,11/14/2018,3/12/2019,3/12/2019,1,118,118,10280865,UP.STAF,DUAL,DIRECTOR D,0
33516887,A,43738,F,E,25,M,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,10/1/2019,10/3/2019,10/4/2019,1,3,2,76813419,UP.STAF,UNIV,ASSOCIATE DIRECTOR E,2
29897026,A,43374,F,E,30,F,Accountant C,355002,Accountant C,2,AP,NA,0,NA,11/14/2018,NA,1/0/1900,0,NA,NA,25689431,#N/A,#N/A,#N/A,2
52484060,A,43434,F,E,40,F,Staff Recruiter Senior,365652,Staff Recruiter Senior,2,AP,NA,0,NA,12/2/2018,NA,1/0/1900,0,NA,NA,58327328,UP.STAF,UNIV,MANAGER E,1
89367256,A,43472,F,E,45,F,Clinical Research Nurse B,315052,Clinical Research Nurse B,2,AP,NA,100,NA,1/8/2019,1/18/2019,5/2/2019,1,114,10,10246254,UP.STAF,UNIV,"SUPERVISOR, CLINICAL RESE",2
49441766,A,43531,F,E,28,M,Clinical Research Nurse C,315054,Clinical Research Nurse C,2,AP,NA,100,NA,3/8/2019,3/11/2019,3/11/2019,1,3,3,59380417,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,1
23991182,A,43577,F,E,36,F,Clinical Research Coordinator C,320092,Clinical Research Coordinator C,2,AP,NA,100,NA,4/24/2019,4/25/2019,5/3/2019,1,9,1,10095245,UP.FAC,DUAL,"ASSOCIATE PROFESSOR, CLIN",0
47819774,A,43647,F,E,35,M,Medical Physicist Trainee,399033,Medical Physicist Trainee,2,AP,NA,100,NA,7/5/2019,7/6/2019,7/7/2019,1,2,1,55430950,UP.FAC,UNIV,"ASSOCIATE PROFESSOR, CLIN",0
37317352,A,43711,F,E,25,M,Data Analyst C,340106,Data Analyst C,2,AP,NA,0,NA,9/5/2019,NA,1/0/1900,0,NA,NA,80133324,UP.STAF,UNIV,RESEARCH ANALYST,0
44358017,A,43752,F,E,26,F,Manager Research Project A,120860,Manager Research Project A,2,AP,NA,100,NA,10/15/2019,10/22/2019,10/25/2019,1,10,7,20962916,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,1
31053670,A,43467,F,E,29,F,Clinical Research Monitoring Specialist,120861,Clinical Research Monitoring Specialist,2,AP,NA,100,NA,1/3/2019,2/25/2019,3/1/2019,1,57,53,50787984,UP.STAF,UNIV,ASSOCIATE DIRECTOR E,0
84366422,A,42772,F,E,28,M,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,9/7/2019,9/13/2019,10/25/2019,1,48,6,10080943,UP.STAF,UNIV,RESOURCE TECHNOLOGIST C,0
39935316,A,43731,F,E,37,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",2,AP,H-1B,100,NA,9/24/2019,10/7/2019,10/8/2019,1,14,13,75782049,UP.STAF,DUAL,DIRECTOR D,0
62446038,A,43755,F,E,40,F,Staff Assistant C,399035,Staff Assistant C,2,AP,NA,15.38,NA,10/25/2019,11/10/2019,1/0/1900,0,NA,16,83604881,UP.STAF,DUAL,EXECUTIVE ASSISTANT A,2
24265441,A,39244,F,E,37,F,Coordinator A,399109,Coordinator A,2,AP,NA,0,DUAL,8/1/2019,NA,1/0/1900,0,NA,NA,10155714,UP.STAF,DUAL,MANAGER D,2
66564552,A,43467,F,E,24,F,Assistant Manager C,130086,Assistant Manager C,2,AP,NA,100,NA,1/3/2019,1/3/2019,1/8/2019,1,5,0,44500299,UP.STAF,UNIV,MANAGER D,2
18018406,A,43528,F,E,27,F,Research Coordinator,320077,Research Coordinator,2,AP,NA,100,NA,3/5/2019,3/12/2019,3/21/2019,1,16,7,60770500,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,2
25490317,A,43654,F,E,25,M,Business Manager B,130710,Business Manager B,2,AP,NA,100,NA,7/11/2019,7/18/2019,7/22/2019,1,11,7,70831836,HS.EMP,DUAL,Division Administrator,0
47840123,A,43374,F,E,41,M,Research Specialist C,320030,Research Specialist C,2,AP,NA,100,NA,11/14/2018,7/23/2019,11/15/2019,1,366,251,69805341,UP.STAF,UNIV,DIRECTOR D,0
71096072,A,43654,F,E,52,F,Resource Technologist C,320105,Resource Technologist C,2,AP,NA,100,NA,7/11/2019,7/18/2019,7/30/2019,1,19,7,10113994,UP.STAF,NA,ASSOCIATE DIRECTOR D,0
39904622,A,43738,F,E,28,F,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,10/3/2019,10/3/2019,10/8/2019,1,5,0,10114288,UP.STAF,UNIV,ASSOCIATE DIRECTOR E,1
27073262,A,43696,F,E,34,F,Data Analyst C,340106,Data Analyst C,2,AP,NA,0,NA,8/22/2019,NA,1/0/1900,0,NA,NA,10090858,UP.STAF,UNIV,DIRECTOR E,0
75607232,A,43711,F,E,32,F,Data Analyst C,340106,Data Analyst C,2,AP,NA,100,NA,9/17/2019,9/19/2019,9/19/2019,1,2,2,75782049,UP.STAF,DUAL,DIRECTOR D,0
71565268,A,43472,F,E,28,F,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,1/8/2019,1/10/2019,1/10/2019,1,2,2,55492781,UP.SRS,UNIV,No job record,2
32370820,A,43493,F,E,34,F,Counseling Psychologist B,365365,Counseling Psychologist B,2,AP,NA,30.77,NA,1/29/2019,2/1/2019,1/0/1900,0,NA,3,10082947,UP.FAC,UNIV,"ASSISTANT PROFESSOR, CLIN",0
47502813,A,43766,F,E,54,M,Regulatory Affairs Specialist Senior,120866,Regulatory Affairs Specialist Senior,2,AP,NA,100,NA,3/28/2019,3/28/2019,4/5/2019,1,8,0,71468903,UP.STAF,UNIV,DIRECTOR E,2
