Penn_ID_prsn,Emp_Status,Emp_ Status_Date,Full_Part_Time,Exempt_Status,Emp_Age,Emp_Gender,Primary_Position_Name,Primary_Job_Profile_ID,Primary_Job_Profile_Name,Salary_Code,Personnel_Class,Visa_Type,NSO_completion_percent,Supervisory_status,Assignment_Date,Completion_Date,NSO_Complete_Code,number_of_weeks,Manager_Penn_Id,SUP_Employee_Type,Supervisor_Domains,SUP_Job_Code_Description,SUP_Learning
10019649,A,9/13/2018,F,N,54,F,Laboratory Animal Assistant,420168,Laboratory Animal Assistant,1,SS,NA,100,NA,3/1/2019,3/2/2019,1,0.14,10201570,UP.STAF,UNIV,RESEARCH SPECIALIST C,0
41876907,A,12/6/2018,F,N,26,F,Clinical Research Assistant A,420068,Clinical Research Assistant A,1,SS,NA,100,NA,10/2/2019,10/11/2019,1,1.29,10001601,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,1
24421648,A,7/8/2019,F,E,23,M,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,7/11/2019,8/16/2019,1,5.14,10002674,UP.FAC,UNIV,PROFESSOR,0
52484060,A,11/30/2018,F,E,40,F,Staff Recruiter Senior,365652,Staff Recruiter Senior,2,AP,NA,0,NA,12/2/2018,1/0/1900,0,-6205.14,58327328,UP.STAF,UNIV,MANAGER E,1
89367256,A,1/7/2019,F,E,45,F,Clinical Research Nurse B,315052,Clinical Research Nurse B,2,AP,NA,100,NA,1/8/2019,5/2/2019,1,16.29,10246254,UP.STAF,UNIV,"SUPERVISOR, CLINICAL RESE",2
13328117,A,11/1/2019,F,N,21,M,Clinical Research Assistant A,420068,Clinical Research Assistant A,1,SS,NA,0,NA,11/16/2019,1/0/1900,0,-6255,39674467,UP.FAC,UNIV,RESEARCH ASSOCIATE,0
20749273,A,1/28/2019,F,E,25,F,Research Coordinator,320077,Research Coordinator,1,AP,NA,100,NA,1/29/2019,2/5/2019,1,1,10090966,UP.FAC,DUAL,"PROFESSOR, CLINICIAN-EDUC",0
47492526,A,10/1/2019,F,E,23,F,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,10/12/2019,10/16/2019,1,0.57,58577533,UP.FAC,DUAL,ASSOCIATE PROFESSOR,0
52201683,A,11/12/2018,F,E,41,F,Director C,120392,Director C,3,AP,NA,38.46,NA,11/14/2018,1/0/1900,0,-6202.57,10040067,UP.FAC,DUAL,"PROFESSOR, CLINICIAN-EDUC",0
19222717,A,3/27/2019,F,N,30,F,Financial Administrative Coordinator,525384,Financial Administrative Coordinator,1,SS,NA,100,NA,4/3/2019,4/10/2019,1,1,10060637,UP.STAF,DUAL,"DIRECTOR, FISCAL OPERATIO",0
49441766,A,3/7/2019,F,E,28,M,Clinical Research Nurse C,315054,Clinical Research Nurse C,2,AP,NA,100,NA,3/8/2019,3/11/2019,1,0.43,59380417,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,1
23991182,A,4/22/2019,F,E,36,F,Clinical Research Coordinator C,320092,Clinical Research Coordinator C,2,AP,NA,100,NA,4/24/2019,5/3/2019,1,1.29,10095245,UP.FAC,DUAL,"ASSOCIATE PROFESSOR, CLIN",0
47819774,A,7/1/2019,F,E,35,M,Medical Physicist Trainee,399033,Medical Physicist Trainee,2,AP,NA,100,NA,7/5/2019,7/7/2019,1,0.29,55430950,UP.FAC,UNIV,"ASSOCIATE PROFESSOR, CLIN",0
37317352,A,9/3/2019,F,E,25,M,Data Analyst C,340106,Data Analyst C,2,AP,NA,0,NA,9/5/2019,1/0/1900,0,-6244.71,80133324,UP.STAF,UNIV,RESEARCH ANALYST,0
16927821,A,10/1/2018,F,E,46,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",3,AP,LPR,0,NA,11/14/2018,1/0/1900,0,-6202.57,82888459,UP.STAF,UNIV,DIRECTOR D,0
10057917,A,11/1/2019,F,E,62,F,Executive Assistant A,120462,Executive Assistant A,3,AP,NA,100,NA,11/4/2019,11/13/2019,1,1.29,10028749,UP.STAF,DUAL,"DIRECTOR, FISCAL OPERATIO",2
29596706,A,3/4/2019,F,N,26,F,Clinical Research Assistant B,420074,Clinical Research Assistant B,1,SS,NA,100,NA,3/5/2019,4/11/2019,1,5.29,54940927,UP.STAF,DUAL,ASSOCIATE DIRECTOR D,2
39976082,A,8/5/2019,F,E,25,M,Research Specialist B,320020,Research Specialist B,1,AP,NA,100,NA,8/24/2019,8/27/2019,1,0.43,10193512,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,0
36229452,A,10/26/2018,F,N,24,F,"Technician, Research Laboratory C",420070,"Technician, Research Laboratory C",1,SS,NA,0,NA,12/4/2018,1/0/1900,0,-6205.43,41937634,UP.FAC,UPHS,"ASSISTANT PROFESSOR, CLIN",0
44358017,A,10/14/2019,F,E,26,F,Manager Research Project A,120860,Manager Research Project A,2,AP,NA,100,NA,10/15/2019,10/25/2019,1,1.43,20962916,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,1
75923291,A,10/28/2019,F,N,24,F,Clinical Research Assistant A,420068,Clinical Research Assistant A,1,SS,F-1,100,NA,10/29/2019,11/5/2019,1,1,85795378,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,2
31053670,A,1/2/2019,F,E,29,F,Clinical Research Monitoring Specialist,120861,Clinical Research Monitoring Specialist,2,AP,NA,100,NA,1/3/2019,3/1/2019,1,8.14,50787984,UP.STAF,UNIV,ASSOCIATE DIRECTOR E,0
10116180,A,3/18/2019,F,E,54,F,Director C,120392,Director C,4,AP,NA,100,NA,3/19/2019,4/5/2019,1,2.43,25768398,UP.STAF,UNIV,DIRECTOR E,0
77537829,A,7/8/2019,F,E,23,F,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,7/13/2019,7/17/2019,1,0.57,25991693,UP.FAC,DUAL,RESEARCH ASSISTANT PROFES,0
69712507,A,7/8/2019,F,E,22,F,Research Specialist A,320015,Research Specialist A,1,AP,NA,30.77,NA,7/30/2019,1/0/1900,0,-6239.43,78945445,UP.STAF,DUAL,COORDINATOR B,1
36455005,A,2/18/2019,F,E,22,F,Research Specialist A,320015,Research Specialist A,1,AP,LPR,100,NA,10/1/2019,10/2/2019,1,0.14,68962791,UP.FAC,UNIV,ASSISTANT PROFESSOR,0
85612301,A,10/15/2018,F,E,23,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,100,NA,11/14/2018,11/26/2018,1,1.71,60643708,UP.FAC,UNIV,ASSISTANT PROFESSOR,0
43273845,A,11/5/2018,F,N,44,F,Administrative Coordinator,525458,Administrative Coordinator,1,SS,NA,100,NA,11/14/2018,11/26/2018,1,1.71,65484215,UP.STAF,UNIV,EXECUTIVE ASSISTANT A,2
84387003,A,6/10/2019,F,E,26,F,Research Specialist B,320020,Research Specialist B,1,AP,NA,100,NA,6/11/2019,6/12/2019,1,0.14,17797512,UP.STAF,UNIV,"RESEARCH INVESTIGATOR, SE",1
71827735,A,1/14/2019,P,E,24,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,100,#N/A,8/20/2019,8/22/2019,1,0.29,73057327,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,2
84366422,A,2/6/2017,F,E,28,M,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,9/7/2019,10/25/2019,1,6.86,10080943,UP.STAF,UNIV,RESOURCE TECHNOLOGIST C,0
80896830,A,8/5/2019,F,E,27,M,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,8/7/2019,8/19/2019,1,1.71,10002384,UP.FAC,UNIV,RESEARCH PROFESSOR,0
78403949,A,7/15/2019,F,E,41,F,Grants Manager B,355803,Grants Manager B,3,AP,NA,100,NA,7/17/2019,7/24/2019,1,1,10091672,UP.STAF,UNIV,ADMINISTRATIVE AND FINANC,2
39935316,A,9/23/2019,F,E,37,M,"Research Investigator, Senior",320090,"Research Investigator, Senior",2,AP,H-1B,100,NA,9/24/2019,10/8/2019,1,2,75782049,UP.STAF,DUAL,DIRECTOR D,0
62446038,A,10/17/2019,F,E,40,F,Staff Assistant C,399035,Staff Assistant C,2,AP,NA,15.38,NA,10/25/2019,1/0/1900,0,-6251.86,83604881,UP.STAF,DUAL,EXECUTIVE ASSISTANT A,2
24265441,A,6/11/2007,F,E,37,F,Coordinator A,399109,Coordinator A,2,AP,NA,0,DUAL,8/1/2019,1/0/1900,0,-6239.71,10155714,UP.STAF,DUAL,MANAGER D,2
10087126,A,8/13/2019,F,NA,41,,Manager A,130250,Manager A,NA,AP,NA,0,DUAL,8/16/2019,1/0/1900,0,-6241.86,52802411,HS.EMP,DUAL,ACIO Application Development,0
88491073,A,2/25/2019,F,E,37,M,Bioinformatician B,340440,Bioinformatician B,3,AP,H-1B,7.69,NA,2/26/2019,1/0/1900,0,-6217.43,10008840,UP.FAC,DUAL,PROFESSOR,0
44201072,A,8/1/2019,F,E,38,F,Executive Assistant A,120462,Executive Assistant A,3,AP,NA,100,NA,8/7/2019,8/29/2019,1,3.14,10053421,UP.STAF,UNIV,EXECUTIVE ASSISTANT C,0
63497730,A,4/22/2019,F,N,23,M,Administrative Coordinator,525458,Administrative Coordinator,1,SS,NA,100,NA,4/24/2019,5/9/2019,1,2.14,81345627,UP.FAC,UNIV,PROFESSOR,0
66564552,A,1/2/2019,F,E,24,F,Assistant Manager C,130086,Assistant Manager C,2,AP,NA,100,NA,1/3/2019,1/8/2019,1,0.71,44500299,UP.STAF,UNIV,MANAGER D,2
16899774,A,10/15/2018,F,N,24,F,Clinical Research Assistant B,420074,Clinical Research Assistant B,1,SS,LPR,0,NA,11/14/2018,1/0/1900,0,-6202.57,10019916,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,2
57850005,A,12/3/2018,F,E,29,F,Resource Technologist A,320100,Resource Technologist A,1,AP,J-2,61.54,NA,12/4/2018,1/0/1900,0,-6205.43,33383114,UP.STAF,UNIV,DIRECTOR B,2
20039594,A,9/30/2019,F,N,23,M,Clinical Research Assistant A,420068,Clinical Research Assistant A,1,SS,NA,0,NA,10/1/2019,1/0/1900,0,-6248.43,77612140,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,2
62493152,A,8/13/2019,F,E,24,M,Research Specialist A,320015,Research Specialist A,1,AP,NA,0,NA,10/11/2019,1/0/1900,0,-6249.86,10152843,UP.STAF,DUAL,MANAGER C,0
54383834,A,11/7/2019,P,NA,20,F,Statistical Analyst A,340430,Statistical Analyst A,NA,AP,NA,0,#N/A,11/8/2019,1/0/1900,0,-6253.86,11236317,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,0
18018406,A,3/4/2019,F,E,27,F,Research Coordinator,320077,Research Coordinator,2,AP,NA,100,NA,3/5/2019,3/21/2019,1,2.29,60770500,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,2
41417583,A,8/24/2015,F,E,22,F,Clinical Research Coordinator,399074,Clinical Research Coordinator,1,AP,NA,0,NA,8/7/2019,1/0/1900,0,-6240.57,10005587,UP.FAC,UNIV,PROFESSOR,0
23359102,A,6/1/2019,F,E,22,M,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,6/16/2019,6/19/2019,1,0.43,76632629,UP.FAC,UNIV,RESEARCH ASSOCIATE,0
83838818,A,4/18/2019,F,E,29,M,Teacher,365300,Teacher,1,AP,NA,100,NA,4/25/2019,5/13/2019,1,2.57,10090533,UP.STAF,UNIV,COUNSELING PSYCHOLOGIST C,1
70607198,A,10/1/2019,F,NA,22,M,Research Coordinator,320077,Research Coordinator,NA,AP,NA,0,NA,11/9/2019,1/0/1900,0,-6254,10066100,UP.FAC,DUAL,ASSOCIATE PROFESSOR,0
43193079,A,9/10/2019,F,E,26,F,Clinical Research Nurse C,315054,Clinical Research Nurse C,3,AP,NA,100,NA,9/14/2019,9/17/2019,1,0.43,62034044,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,1
62945296,A,11/14/2019,F,N,22,M,Building Services Assistant,525428,Services Assistant C,1,SS,NA,0,NA,11/16/2019,1/0/1900,0,-6255,69757271,UP.STAF,UNIV,SUPERVISOR C,2
27160627,A,1/2/2019,F,E,47,M,Regulatory Affairs Specialist Senior,120866,Regulatory Affairs Specialist Senior,3,AP,NA,100,NA,3/2/2019,3/25/2019,1,3.29,71468903,UP.STAF,UNIV,DIRECTOR E,2
35517164,A,8/12/2019,P,NA,28,,Statistical Analyst A,340430,Statistical Analyst A,NA,AP,NA,0,#N/A,8/13/2019,1/0/1900,0,-6241.43,10128495,UP.FAC,NA,"ASSOCIATE PROFESSOR, CLIN",0
14118099,A,3/18/2019,F,E,23,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,0,NA,4/17/2019,1/0/1900,0,-6224.57,28819798,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,2
77918183,A,5/1/2019,F,N,24,M,Research Administrative Coordinator,525689,Research Administrative Coordinator,1,SS,NA,0,NA,5/3/2019,1/0/1900,0,-6226.86,65017992,UP.STAF,UNIV,RESEARCH COORDINATOR SENI,0
48907663,A,9/23/2019,F,E,22,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,100,NA,9/25/2019,9/26/2019,1,0.14,45168208,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,0
57841161,A,8/27/2019,F,E,25,F,Research Specialist B,320020,Research Specialist B,1,AP,NA,100,NA,8/28/2019,9/9/2019,1,1.71,87732018,UP.FAC,UNIV,ASSISTANT PROFESSOR,0
58024889,A,6/3/2019,F,N,22,F,Clinical Research Assistant B,420074,Clinical Research Assistant B,1,SS,NA,100,NA,6/4/2019,6/5/2019,1,0.14,10089290,UP.STAF,UNIV,ASSOCIATE DIRECTOR D,2
25490317,A,7/8/2019,F,E,25,M,Business Manager B,130710,Business Manager B,2,AP,NA,100,NA,7/11/2019,7/22/2019,1,1.57,70831836,HS.EMP,DUAL,Division Administrator,0
57400276,A,8/1/2019,F,E,38,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,100,NA,9/19/2019,10/10/2019,1,3,63262165,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,2
47840123,A,10/1/2018,F,E,41,M,Research Specialist C,320030,Research Specialist C,2,AP,NA,100,NA,11/14/2018,11/15/2019,1,52.29,69805341,UP.STAF,UNIV,DIRECTOR D,0
81424873,A,7/29/2019,F,N,23,M,Administrative Coordinator,525458,Administrative Coordinator,1,SS,NA,0,NA,8/7/2019,1/0/1900,0,-6240.57,54241055,UP.STAF,UNIV,DIRECTOR C,1
48330802,A,8/26/2019,F,E,23,M,Research Specialist B,320020,Research Specialist B,1,AP,NA,100,NA,9/12/2019,9/18/2019,1,0.86,75782049,UP.STAF,DUAL,DIRECTOR D,0
31376449,A,10/14/2019,P,N,23,F,Research Administrative Coordinator,525689,Research Administrative Coordinator,1,SS,NA,100,#N/A,10/16/2019,10/17/2019,1,0.14,10082947,UP.FAC,UNIV,"ASSISTANT PROFESSOR, CLIN",0
84418132,A,7/1/2019,F,E,23,F,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,7/5/2019,7/8/2019,1,0.43,10031385,UP.FAC,DUAL,PROFESSOR,0
71096072,A,7/8/2019,F,E,52,F,Resource Technologist C,320105,Resource Technologist C,2,AP,NA,100,NA,7/11/2019,7/30/2019,1,2.71,10113994,UP.STAF,NA,ASSOCIATE DIRECTOR D,0
44393210,A,4/26/2018,F,E,22,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,100,NA,9/9/2019,9/20/2019,1,1.57,10079283,HS.EMP,DUAL,Dir Neurosurgery Clin Research,0
19550995,A,7/1/2019,F,E,33,F,Penn Medicine Clinician,110193,Penn Medicine Clinician,4,AP,NA,100,NA,4/26/2019,6/2/2019,1,5.29,40296694,UP.FAC,DUAL,PROFESSOR,0
47499674,A,11/11/2019,F,E,33,M,Research Specialist B,320020,Research Specialist B,1,AP,NA,0,NA,11/13/2019,1/0/1900,0,-6254.57,10076032,UP.FAC,UNIV,PROFESSOR,0
39904622,A,9/30/2019,F,E,28,F,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,10/3/2019,10/8/2019,1,0.71,10114288,UP.STAF,UNIV,ASSOCIATE DIRECTOR E,1
27073262,A,8/19/2019,F,E,34,F,Data Analyst C,340106,Data Analyst C,2,AP,NA,0,NA,8/22/2019,1/0/1900,0,-6242.71,10090858,UP.STAF,UNIV,DIRECTOR E,0
16679300,A,7/29/2019,F,E,23,F,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,8/7/2019,11/14/2019,1,14.14,78945445,UP.STAF,DUAL,COORDINATOR B,1
75607232,A,9/3/2019,F,E,32,F,Data Analyst C,340106,Data Analyst C,2,AP,NA,100,NA,9/17/2019,9/19/2019,1,0.29,75782049,UP.STAF,DUAL,DIRECTOR D,0
71565268,A,1/7/2019,F,E,28,F,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,1/8/2019,1/10/2019,1,0.29,55492781,UP.SRS,UNIV,No job record,2
61754937,A,10/30/2018,F,N,35,F,"Coordinator, Program",525461,"Coordinator, Program",2,SS,NA,30.77,NA,7/27/2019,1/0/1900,0,-6239,69399186,UP.FAC,UNIV,PROFESSOR,1
32370820,A,1/28/2019,F,E,34,F,Counseling Psychologist B,365365,Counseling Psychologist B,2,AP,NA,30.77,NA,1/29/2019,1/0/1900,0,-6213.43,10082947,UP.FAC,UNIV,"ASSISTANT PROFESSOR, CLIN",0
84330169,A,2/18/2019,F,E,30,M,Manager Research Project C,120858,Manager Research Project C,3,AP,NA,100,NA,2/20/2019,3/7/2019,1,2.14,77248916,UP.STAF,UNIV,DIRECTOR D,0
47502813,A,10/28/2019,F,E,54,M,Regulatory Affairs Specialist Senior,120866,Regulatory Affairs Specialist Senior,2,AP,NA,100,NA,3/28/2019,4/5/2019,1,1.14,71468903,UP.STAF,UNIV,DIRECTOR E,2
19485590,A,3/7/2019,F,E,50,F,Staff Assistant C,399035,Staff Assistant C,2,AP,NA,100,NA,3/9/2019,3/13/2019,1,0.57,10002897,UP.FAC,UNIV,PROFESSOR,0
55710253,A,5/29/2019,F,N,22,F,"Technician, Research Laboratory B",420065,"Technician, Research Laboratory B",1,SS,NA,100,NA,5/30/2019,6/7/2019,1,1.14,78818258,UP.FAC,UNIV,ASSOCIATE PROFESSOR,0
36575923,L,11/13/2019,F,N,37,F,Administrative Coordinator,525458,Administrative Coordinator,1,SS,NA,100,#N/A,4/23/2019,5/6/2019,1,1.86,10155884,UP.FAC,DUAL,PROFESSOR,0
82964518,A,6/1/2019,F,E,22,M,Research Specialist A,320015,Research Specialist A,1,AP,NA,100,NA,6/18/2019,6/22/2019,1,0.57,30735289,UP.FAC,UNIV,INSTRUCTOR,0
22799541,A,7/8/2019,F,E,29,M,"Specialist, Clinical Data",320095,"Specialist, Clinical Data",2,AP,NA,53.85,NA,7/11/2019,1/0/1900,0,-6236.71,10218942,UP.STAF,DUAL,ASSOCIATE DIRECTOR E,1
38725946,A,8/20/2019,F,N,22,F,Research Administrative Coordinator,525689,Research Administrative Coordinator,1,SS,NA,100,NA,8/22/2019,8/22/2019,1,0,10056252,UP.STAF,UNIV,DIRECTOR C,2
88546367,A,3/11/2019,F,E,34,F,Clinical Research Coordinator B,320088,Clinical Research Coordinator B,2,AP,NA,30.77,NA,3/12/2019,1/0/1900,0,-6219.43,10089290,UP.STAF,UNIV,ASSOCIATE DIRECTOR D,2
74728975,A,7/17/2019,F,N,23,F,Clinical Research Assistant B,420074,Clinical Research Assistant B,1,SS,NA,100,NA,7/24/2019,7/26/2019,1,0.29,10287464,UP.STAF,UNIV,CLINICAL RESEARCH COORDIN,0
28795760,A,11/18/2019,F,E,25,F,Resource Technologist A,320100,Resource Technologist A,1,AP,NA,0,NA,11/19/2019,1/0/1900,0,-6255.43,36495010,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,1
54809446,A,9/5/2019,F,E,45,F,Grants Manager A,355802,Grants Manager A,2,AP,NA,100,NA,9/6/2019,9/24/2019,1,2.57,10060637,UP.STAF,DUAL,"DIRECTOR, FISCAL OPERATIO",0
33085509,A,10/29/2018,F,E,24,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,100,NA,11/14/2018,12/13/2018,1,4.14,25794237,UP.STAF,UNIV,MANAGER RESEARCH PROJECT,1
74850945,A,1/7/2019,F,E,26,F,Research Specialist B,320020,Research Specialist B,1,AP,F-1,100,NA,3/14/2019,4/3/2019,1,2.86,10130801,UP.FAC,DUAL,PROFESSOR,0
19354141,A,7/1/2019,F,E,29,F,Medical Physicist Trainee,399033,Medical Physicist Trainee,2,AP,NA,100,NA,7/5/2019,8/5/2019,1,4.43,55430950,UP.FAC,UNIV,"ASSOCIATE PROFESSOR, CLIN",0
74300191,A,4/9/2019,F,E,33,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,F-1,100,NA,4/13/2019,4/16/2019,1,0.43,10001215,UP.FAC,DUAL,PROFESSOR,0
26119279,A,10/1/2018,F,E,53,F,Research Specialist C,320030,Research Specialist C,2,AP,LPR,0,NA,11/14/2018,1/0/1900,0,-6202.57,51692997,UP.FAC,UNIV,ASSOCIATE PROFESSOR,0
89462302,A,8/12/2019,F,E,22,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,100,NA,8/14/2019,8/15/2019,1,0.14,10135524,UP.STAF,DUAL,"DIRECTOR, CLINICAL TRIALS",2
40526330,A,9/17/2018,F,E,23,F,Research Specialist A,320015,Research Specialist A,1,AP,NA,0,NA,11/14/2018,1/0/1900,0,-6202.57,60676737,UP.STAF,UNIV,"MANAGER, ADMINISTRATION A",1
72586879,A,11/8/2018,F,E,25,F,Statistical Analyst A,340430,Statistical Analyst A,2,AP,NA,100,NA,11/14/2018,11/20/2018,1,0.86,37499333,UP.FAC,UNIV,"ASSOCIATE PROFESSOR, CLIN",1
63816556,A,9/3/2019,F,E,29,F,Clinical Research Coordinator B,320088,Clinical Research Coordinator B,2,AP,NA,100,NA,9/4/2019,9/4/2019,1,0,10256331,UP.STAF,DUAL,"SUPERVISOR, CLINICAL RESE",1
80445329,A,7/8/2019,F,E,28,F,Research Specialist B,320020,Research Specialist B,1,AP,NA,100,NA,7/11/2019,11/6/2019,1,16.86,10100509,UP.STAF,UNIV,DIRECTOR D,0
33155449,A,3/25/2019,F,N,25,F,Clinical Research Assistant B,420074,Clinical Research Assistant B,1,SS,NA,100,NA,3/26/2019,4/10/2019,1,2.14,85556448,UP.STAF,NA,CLINICAL RESEARCH COORDIN,0
78573215,L,10/3/2019,F,E,27,M,Application Developer B,340181,Application Developer B,2,AP,NA,100,#N/A,11/21/2018,12/10/2018,1,2.71,81345627,UP.FAC,UNIV,PROFESSOR,0
33821227,A,10/1/2018,F,E,23,F,Clinical Research Coordinator A,320086,Clinical Research Coordinator A,1,AP,NA,100,NA,6/1/2019,6/14/2019,1,1.86,63456397,UP.STAF,DUAL,MANAGER RESEARCH PROJECT,2
28696194,A,7/15/2019,F,E,28,F,Research Specialist B,320020,Research Specialist B,1,AP,NA,0,NA,7/21/2019,1/0/1900,0,-6238.14,10142159,UP.FAC,DUAL,ASSISTANT PROFESSOR,0
31286155,A,10/22/2018,F,E,37,F,Clinical Research Nurse D,315057,Clinical Research Nurse D,3,AP,NA,100,NA,11/14/2018,3/8/2019,1,16.29,10280865,UP.STAF,DUAL,DIRECTOR D,0
22800137,A,9/18/2018,F,E,35,F,Director C,120392,Director C,4,AP,NA,0,UNIV,11/14/2018,1/0/1900,0,-6202.57,10161489,UP.STAF,UNIV,DIRECTOR F,0
10140584,A,1/14/2019,F,E,43,F,Staff Assistant C,399035,Staff Assistant C,2,AP,NA,0,NA,1/15/2019,1/0/1900,0,-6211.43,50074085,UP.FAC,DUAL,ASSISTANT PROFESSOR,0
68573261,A,7/15/2019,F,E,24,M,Research Specialist B,320020,Research Specialist B,1,AP,NA,0,NA,9/25/2019,1/0/1900,0,-6247.57,10268698,UP.FAC,DUAL,"ASSOCIATE PROFESSOR, CLIN",0
10213741,A,7/8/2019,F,E,58,F,Resource Technologist B,320103,Resource Technologist B,2,AP,NA,100,NA,7/11/2019,7/17/2019,1,0.86,34583716,UP.STAF,UNIV,ASSOCIATE DIRECTOR D,1
10280586,A,9/9/2019,F,E,38,F,Manager E,130248,Manager E,3,AP,NA,100,NA,9/10/2019,11/25/2019,1,10.86,41323070,UP.FAC,UNIV,ACADEMIC CLINICIAN ASSIST,0
42601411,A,12/11/2018,F,E,58,F,Associate Director E,120409,Associate Director E,4,AP,NA,100,NA,6/12/2019,6/28/2019,1,2.29,87843079,UP.STAF,UNIV,DIRECTOR D,0
74137714,A,5/1/2019,F,E,25,M,Resource Technologist A,320100,Resource Technologist A,1,AP,NA,100,NA,5/9/2019,5/27/2019,1,2.57,10119123,UP.FAC,DUAL,ASSOCIATE PROFESSOR,0
85474968,A,7/8/2019,F,E,47,F,Director D,120390,Director D,4,AP,NA,100,UNIV,7/13/2019,8/1/2019,1,2.71,40104293,UP.STAF,UNIV,DIRECTOR D,0
